Quantity,Manufacturer Part Number
2,ADS1115IDGSR
2,AP63200WU-7
1,BQ25887RGER
1,BQ28Z610DRZR-R1
3,CL10A105KP8NNNC
1,CL10A225KO8NNNC
1,CL10A475KQ8NNNC
5,CL10B104JB8NNNC
11,CL10B104KO8NNNC
2,CL21A106KOQNNNE
1,CL21A106KPFNNNG
4,CL21A226KOQNNNG
1,CSD83325L
2,C2012X5R1C226M125AC
1,LTST-C190KGKT
1,LTST-C190TBKT
1,MCP23017-E/SO
4,MF-NSMF200-2
1,NCP18XH103F03RB
1,"PESD5V0S1BA,115"
4,RC0603FR-07100KL
21,RC0603FR-07100RL
4,RC0603FR-0710KL
1,RC0603FR-07220RL
2,RC0603FR-072K2L
1,RC0603FR-07316KL
2,RC0603FR-07330RL
2,RC0603FR-07470RL
2,RC0603FR-074K7L
1,RC0603FR-07523KL
2,RC0603FR-075K1L
1,RC0603FR-07806RL
4,RC0603JR-070RL
4,SP0504BAHTG
2,SRP4020TA-4R7M
1,SRP5030TA-1R0M
1,WSL1206R0020FEA
