"Designator","Mid X","Mid Y","Layer","Rotation"
"C1","23.6000","26.0500","Top","90.00"
"C2","36.0250","31.6000","Top","0.00"
"C3","30.4500","29.4000","Top","0.00"
"C4","27.0000","26.0250","Top","-90.00"
"C5","37.8000","38.2500","Top","-90.00"
"C6","43.2250","33.9000","Top","0.00"
"C7","34.6000","34.4250","Top","90.00"
"C9","37.0000","43.5000","Top","0.00"
"C10","52.4250","36.1000","Top","0.00"
"C11","25.8500","64.7000","Top","0.00"
"C12","25.8250","61.0000","Top","0.00"
"C13","31.2500","60.6000","Top","180.00"
"C14","31.1500","64.7000","Top","180.00"
"C15","26.0250","51.9000","Top","0.00"
"C16","31.7000","55.6500","Top","90.00"
"C17","137.7000","50.4000","Top","0.00"
"C18","142.7000","50.4000","Top","0.00"
"C19","147.7000","50.4000","Top","0.00"
"C20","152.7000","50.4000","Top","0.00"
"C21","42.7250","43.9000","Top","0.00"
"C22","87.1000","15.6500","Top","-90.00"
"C23","92.4000","15.6500","Top","-90.00"
"C24","89.9250","19.4000","Top","0.00"
"C25","65.4750","25.5000","Top","180.00"
"C26","65.5000","22.0000","Top","0.00"
"C27","106.9750","53.6000","Top","0.00"
"C28","143.0000","54.0000","Top","0.00"
"C29","144.0000","57.8250","Top","90.00"
"C30","70.8000","34.2000","Top","90.00"
"C31","71.8000","29.4000","Top","90.00"
"D1","19.5500","71.7000","Top","180.00"
"D2","19.8125","75.3000","Top","0.00"
"D3","24.1125","75.4000","Top","0.00"
"D4","138.7500","21.8625","Top","-90.00"
"D5","130.5375","42.8000","Top","180.00"
"D6","130.4625","27.2500","Top","180.00"
"D7","130.4625","34.8500","Top","180.00"
"F1","20.6000","40.0000","Top","0.00"
"F2","20.6000","36.2000","Top","0.00"
"F3","20.6000","44.0000","Top","0.00"
"F4","20.8000","47.8000","Top","0.00"
"J1","76.2800","53.2000","Top","0.00"
"J4","99.0000","52.0000","Top","0.00"
"J7","70.6000","16.5000","Top","180.00"
"J8","21.0000","14.0000","Top","0.00"
"J40","33.0000","14.0000","Top","0.00"
"J41","139.0000","14.0000","Top","0.00"
"J42","151.0000","14.0000","Top","0.00"
"L1","20.9000","61.6000","Top","0.00"
"L2","101.4000","24.0000","Top","0.00"
"L3","31.9500","24.2000","Top","0.00"
"Q1","59.5000","50.0000","Top","90.00"
"R1","73.2000","45.0000","Top","180.00"
"R2","78.9750","45.0000","Top","0.00"
"R3","25.0000","34.9750","Top","90.00"
"R4","42.0000","50.0000","Top","0.00"
"R5","28.8250","39.4000","Top","180.00"
"R6","47.4750","31.1000","Top","0.00"
"R7","47.4750","36.2000","Top","0.00"
"R8","16.1000","59.0250","Top","90.00"
"R9","21.0000","56.2250","Top","90.00"
"R10","25.8250","69.5000","Top","180.00"
"R11","80.0000","29.0000","Top","0.00"
"R12","85.0000","29.0000","Top","0.00"
"R13","77.6000","23.9750","Top","-90.00"
"R14","53.5000","39.6750","Top","-90.00"
"R15","52.3750","32.4000","Top","0.00"
"R16","43.0750","38.6000","Top","0.00"
"R17","50.0000","52.0000","Top","0.00"
"R18","89.1750","42.6000","Top","0.00"
"R19","159.9750","26.0000","Top","0.00"
"R20","125.8250","18.2000","Top","180.00"
"R21","66.0000","36.8250","Top","90.00"
"R22","47.6750","41.1000","Top","0.00"
"R23","146.4000","42.8250","Top","90.00"
"R24","132.7000","21.8750","Top","-90.00"
"R25","144.4000","21.7750","Top","-90.00"
"R26","149.7000","21.7750","Top","-90.00"
"R27","149.2000","45.9750","Top","-90.00"
"R28","149.2000","42.8250","Top","90.00"
"R29","152.0000","42.8250","Top","90.00"
"R30","154.8000","42.8250","Top","90.00"
"R31","154.2000","26.4250","Top","90.00"
"R32","151.4000","26.4250","Top","90.00"
"R33","148.6000","26.4250","Top","-90.00"
"R34","146.2000","26.4250","Top","-90.00"
"R35","136.4000","26.4250","Top","-90.00"
"R36","143.8000","26.4250","Top","-90.00"
"R37","138.8000","26.3750","Top","-90.00"
"R38","141.2000","26.4250","Top","-90.00"
"R39","135.2000","42.8250","Top","90.00"
"R40","138.0000","42.7750","Top","-90.00"
"R41","138.0000","45.9750","Top","90.00"
"R42","151.0000","56.6250","Top","-90.00"
"R43","143.6000","42.8250","Top","90.00"
"R44","140.8000","42.8250","Top","90.00"
"R45","156.8000","26.0000","Top","0.00"
"R46","53.8625","46.3000","Top","0.00"
"R47","70.0000","24.0000","Top","90.00"
"R48","73.8000","24.0250","Top","90.00"
"TH1","29.9750","46.6000","Top","0.00"
"U1","30.0000","34.0000","Top","0.00"
"U2","64.6625","31.1500","Top","180.00"
"U3","26.4500","56.3375","Top","90.00"
"U4","82.2625","23.7500","Top","0.00"
"U5","91.7500","23.7000","Top","180.00"
"U6","158.5500","21.2000","Top","0.00"
"U7","143.9450","34.6500","Top","-90.00"
